corporate_allocation_after_exclusions_amt,corporate_allocation_amt,corporate_allocation_bps,gl_exception_amt,gl_exception_bps,gl_fee_income_amt,gl_fee_income_bps,gl_gos_amt,gl_gos_bps,gl_oi_amt,gl_oi_bps,llr_amt,llr_bps,loan_fin_component_id,loan_id,los_exception_amt,los_exception_bps,los_revenue_amt,los_revenue_bps,reporting_period_id,source_insert_datetime
-3229.5974,-68.4403,-68.4403,11.4001,11.4001,-2.2534,-2.2534,87.5001,87.5001,71.9,71.9,-3,-3,447,447,11.4001,11.4001,170.8,170.8,1,
-3200.2117,-74.7857,-74.7857,-32.5,-32.5,11.8807,11.8807,119,119,119.9,119.9,-3,-3,448,448,-32.5,-32.5,206.4,206.4,1,
-4264.3776,-149.5714,-149.5714,0.5,0.5,42.2449,42.2449,155,155,105,105,-3,-3,449,449,0.5,0.5,243.5,243.5,1,
-3595.2794,-251.9455,-251.9455,15.4998,15.4998,67.9122,67.9122,188.6001,188.6001,250.0002,250.0002,-2.9998,-2.9998,450,450,15.4998,15.4998,444.5,444.5,1,
-3938.6494,-123.1765,-123.1765,-2,-2,34.5711,34.5711,168,168,38.8,38.8,-3,-3,451,451,-2,-2,203.2,203.2,1,
0,,,,,-0.5509,-0.5509,,,167.8836,167.8836,-3,-3,452,452,,,,,1,
-4010.1447,-121.7442,-121.7442,100.2,100.2,31.1495,31.1495,150,150,84,84,,,453,453,100.2,100.2,234.2,234.2,1,
-4375.1154,-317.2727,-317.2727,,,-34.123,-34.123,,,222.7273,222.7273,-3.8182,-3.8182,454,454,,,175,175,1,
-2631.1323,-54.5313,-54.5313,1.8,1.8,9.9889,9.9889,49,49,104.2,104.2,-3,-3,455,455,1.8,1.8,155.1,155.1,1,
0,,,,,-0.1292,-0.1292,,,157.5129,157.5129,-3,-3,456,456,,,,,1,
-2947.4022,-447.1416,-447.1416,-0.9003,-0.9003,93.9732,93.9732,191.9002,191.9002,124.9998,124.9998,-2.9997,-2.9997,457,457,-0.9003,-0.9003,169.9,169.9,1,
0,,,,,-0.2985,-0.2985,,,83.5821,83.5821,-3,-3,458,458,,,,,1,
-3468.6854,-202.1236,-202.1236,-2.7,-2.7,49.3456,49.3456,179,179,131,131,,,459,459,-2.7,-2.7,307.3,307.3,1,
-4276.1932,-146.0707,-146.0707,9.5,9.5,32.998,32.998,231.4999,231.4999,66,66,-3.0001,-3.0001,460,460,9.5,9.5,306.7,306.7,1,
-3640.6416,-76.9853,-76.9853,,,-4.7921,-4.7921,165,165,90,90,-3,-3,461,461,0,0,164.2,164.2,1,
-4322.3611,-171.3304,-171.3304,-6.7999,-6.7999,-7.4744,-7.4744,143.0002,143.0002,78,78,-3.0002,-3.0002,462,462,-6.7999,-6.7999,227.5,227.5,1,
-4474.4742,-85.8197,-85.8197,3.8,3.8,21.3049,21.3049,97,97,73.8,73.8,-3,-3,463,463,3.8,3.8,174.6,174.6,1,
-4314.2145,-108.989,-108.989,-79.2,-79.2,30.238,30.238,153,153,120,120,-3,-3,464,464,-79.2,-79.2,213.3,213.3,1,
-4088.4293,-91.2,-91.2,-24.1,-24.1,21.0669,21.0669,184,184,88,88,-3.0001,-3.0001,465,465,-24.1,-24.1,247.9,247.9,1,
-4030.2323,-111.4382,-111.4382,-26.7,-26.7,20.4142,20.4142,99.7,99.7,140.2,140.2,-3,-3,466,466,-26.7,-26.7,184.7,184.7,1,
-4260.3389,-65.7721,-65.7721,-42.9,-42.9,17.8082,17.8082,212,212,75,75,-3,-3,467,467,-42.9,-42.9,244.1,244.1,1,
-4455.2775,-111.4382,-111.4382,9.6,9.6,33.6962,33.6962,148,148,33.7,33.7,-3,-3,468,468,9.6,9.6,191.3,191.3,1,
-4233.8085,-42.75,-42.75,-24.3,-24.3,10.6404,10.6404,48,48,62.1,62.1,-3,-3,469,469,-24.3,-24.3,-119.2,-119.2,1,
-4511.2897,-42.439,-42.439,9.2,9.2,10.1368,10.1368,83.5,83.5,44.9,44.9,-3,-3,470,470,9.2,9.2,89.5,89.5,1,
-3774.8362,-39.9919,-39.9919,-7.1,-7.1,8.1184,8.1184,79.5,79.5,64.5,64.5,-3,-3,471,471,-7.1,-7.1,116.7,116.7,1,
-3813.5771,-94.6432,-94.6432,-0.9001,-0.9001,-4.3966,-4.3966,229.0001,229.0001,75,75,-3,-3,472,472,-0.9001,-0.9001,303.1,303.1,1,
-3299.5801,-153.7713,-153.7713,,,30.8126,30.8126,94.9999,94.9999,193.0001,193.0001,-3.0001,-3.0001,473,473,0,0,5,5,1,
-4489.1961,-111.4382,-111.4382,-20.3,-20.3,34.6764,34.6764,178.8,178.8,160,160,-3,-3,474,474,-20.3,-20.3,318.5,318.5,1,
-3989.9069,-184.0074,-184.0074,-27.2,-27.2,43.1247,43.1247,218.8,218.8,180,180,-3,-3,475,475,-27.2,-27.2,286.6,286.6,1,
-3658.2047,-82.65,-82.65,-30.1,-30.1,12.1363,12.1363,209.3,209.3,185,185,-3,-3,476,476,-30.1,-30.1,364.2,364.2,1,
-1248.592,-42.5581,-42.5581,-35.7,-35.7,22.119,22.119,37,37,200,200,-3,-3,477,477,-35.7,-35.7,-141.3,-141.3,1,
0,-16.2667,-16.2667,-8.9,-8.9,2.0329,2.0329,86.3,86.3,125.9,125.9,-3,-3,478,478,-8.9,-8.9,-40.2,-40.2,1,
-1451.0232,-37.6672,-37.6672,10.8,10.8,24.2106,24.2106,24,24,170,170,-3,-3,479,479,10.8,10.8,203.9,203.9,1,
-687.8213,-63.6123,-63.6123,-25.8001,-25.8001,32.0185,32.0185,79.0001,79.0001,250,250,-2.9999,-2.9999,480,480,-25.8001,-25.8001,251.6,251.6,1,
0,-33.681,-33.681,-19,-19,17.3747,17.3747,3,3,220,220,-3,-3,481,481,-19,-19,182.7,182.7,1,
-873.9147,-35.9118,-35.9118,-75.6999,-75.6999,22.7057,22.7057,395,395,,,-5,-5,482,482,-1.7,-1.7,74.9,74.9,1,
-973.886,-57.9611,-57.9611,93.1999,93.1999,43.5888,43.5888,150,150,,,-5,-5,483,483,93.1999,93.1999,150,150,1,
0,,,,,-232.0089,-232.0089,,,,,-4.9971,-4.9971,484,484,-1426.797,-1426.797,0,0,1,
-4363.7008,-76.0901,-76.0901,11.4,11.4,17.5507,17.5507,97.5,97.5,72.7,72.7,-3,-3,485,485,11.4,11.4,181.6,181.6,1,
-3772.2764,-121.6028,-121.6028,14.3001,14.3001,30.0355,30.0355,155,155,103,103,-3,-3,486,486,14.3001,14.3001,272.3,272.3,1,
-2247.3358,-218.125,-218.125,,,65.7067,65.7067,158,158,110,110,-3,-3,487,487,0,0,261.2,261.2,1,
-4378.0667,-66.9566,-66.9566,0.2,0.2,12.2133,12.2133,92.5,92.5,84,84,-3.0001,-3.0001,488,488,0.2,0.2,176.7,176.7,1,
-4748.0316,-148.3003,-148.3003,15,15,32.7799,32.7799,155,155,90,90,-3,-3,489,489,15,15,210,210,1,
-4195.3937,-166.1905,-166.1905,17.7,17.7,29.6337,29.6337,159.5,159.5,95,95,-3,-3,490,490,17.7,17.7,145.6,145.6,1,
-3238.551,-66.4762,-66.4762,-3.9001,-3.9001,12.6504,12.6504,99,99,104.8,104.8,-3,-3,491,491,-3.9001,-3.9001,173.4,173.4,1,
-4280.0702,-95.0382,-95.0382,-12.5,-12.5,26.6125,26.6125,104,104,96,96,-3,-3,492,492,-12.5,-12.5,77.5,77.5,1,
-4819.2965,-118.5059,-118.5059,-6,-6,29.576,29.576,123.0001,123.0001,78,78,-3.0001,-3.0001,493,493,-6,-6,143.4,143.4,1,
-3035.1269,-118.9773,-118.9773,1.5,1.5,-12.66,-12.66,145,145,90,90,-3,-3,494,494,1.5,1.5,236.5,236.5,1,
-4006.3764,-95.8265,-95.8265,2.2001,2.2001,22.8358,22.8358,154,154,100.7,100.7,-3,-3,495,495,2.2001,2.2001,256.9,256.9,1,
-4380.4122,-174.5,-174.5,-2.2,-2.2,49.5537,49.5537,168,168,77,77,-3,-3,496,496,-2.2,-2.2,242.8,242.8,1,
-3855.7687,-41.0588,-41.0588,-0.1,-0.1,12.1979,12.1979,55,55,62.7,62.7,-3,-3,497,497,-0.1,-0.1,104,104,1,
-2909.7314,-39.0672,-39.0672,-42.3,-42.3,-6.9834,-6.9834,49,49,74.6,74.6,-3,-3,498,498,-42.3,-42.3,81.6,81.6,1,
-4039.6538,-414.946,-414.946,9.2001,9.2001,114.7003,114.7003,171.4,171.4,90.0001,90.0001,-3.0001,-3.0001,499,499,9.2001,9.2001,270.6,270.6,1,
-4091.7662,-177.4576,-177.4576,13.5,13.5,19.5414,19.5414,110,110,75,75,-3,-3,500,500,13.5,13.5,97.5,97.5,1,
-4491.813,-265.0633,-265.0633,-1.3003,-1.3003,73.9641,73.9641,173.3003,173.3003,140,140,-3,-3,501,501,-1.3003,-1.3003,229.8,229.8,1,
-3157.0164,-157.2072,-157.2072,1,1,45.4459,45.4459,156,156,115,115,-3,-3,502,502,1,1,242.1,242.1,1,
-2529.2679,-133.7472,-133.7472,7.8,7.8,38.0721,38.0721,165.0001,165.0001,91,91,-2.9999,-2.9999,503,503,7.8,7.8,263.8,263.8,1,
-3109.5808,-139.493,-139.493,,,38.6285,38.6285,173.5,173.5,72,72,-3,-3,504,504,0,0,221.3,221.3,1,
-2177.6847,-150.0606,-150.0606,3.6,3.6,36.9127,36.9127,179,179,100,100,-3,-3,505,505,3.6,3.6,282.6,282.6,1,
-4390.6615,-382.9344,-382.9344,0.1004,0.1004,124.8502,124.8502,233,233,85,85,-3,-3,506,506,0.1004,0.1004,90.8,90.8,1,
-3990.4735,-154.9688,-154.9688,-10.6,-10.6,48.2647,48.2647,173,173,24,24,-3,-3,507,507,-10.6,-10.6,184.8,184.8,1,
-3565.1028,-211.3171,-211.3171,-17.3,-17.3,57.8086,57.8086,301.9998,301.9998,74.9999,74.9999,-2.9999,-2.9999,508,508,-17.3,-17.3,295.9,295.9,1,
-3678.0668,-94.4517,-94.4517,-10,-10,14.7702,14.7702,223,223,54.9999,54.9999,-3,-3,509,509,-10,-10,253,253,1,
-4074.7227,-256.5111,-256.5111,1.5001,1.5001,79.9545,79.9545,282.0003,282.0003,78.0003,78.0003,-3.0001,-3.0001,510,510,1.5001,1.5001,351.5,351.5,1,
-4411.6128,-82.9958,-82.9958,4,4,14.4696,14.4696,134,134,85,85,-3,-3,511,511,4,4,223,223,1,
-4416.452,-130.5003,-130.5003,,,32.5427,32.5427,143.8001,143.8001,164.9999,164.9999,-3,-3,512,512,0,0,286.5,286.5,1,
-4306.4711,-110.298,-110.298,-33.3999,-33.3999,28.7627,28.7627,133,133,24,24,-3,-3,513,513,-33.3999,-33.3999,122.5,122.5,1,
-4558.1939,-116.1086,-116.1086,-3.1,-3.1,33.6216,33.6216,150,150,46.8,46.8,-3,-3,514,514,-3.1,-3.1,272.6,272.6,1,
-3840.604,-157.8274,-157.8274,2.4,2.4,35.4139,35.4139,173.5,173.5,209.9999,209.9999,-3,-3,515,515,2.4,2.4,355.9,355.9,1,
-4479.2675,-329.2453,-329.2453,-24.5,-24.5,100.7428,100.7428,188,188,110,110,-3,-3,516,516,-24.5,-24.5,273.5,273.5,1,
-3091.1669,-174.5582,-174.5582,4.4001,4.4001,-3.085,-3.085,166.5002,166.5002,90,90,-3,-3,517,517,4.4001,4.4001,260.9,260.9,1,
-1711.8344,-146.8909,-146.8909,5.7,5.7,43.375,43.375,173.0001,173.0001,250.0001,250.0001,-3.0001,-3.0001,518,518,5.7,5.7,324,324,1,
-4778.547,-174.5,-174.5,8.8,8.8,44.8897,44.8897,168,168,90,90,-3,-3,519,519,8.8,8.8,258.8,258.8,1,
0,,,,,-302.4267,-302.4267,,,,,-3,-3,520,520,-546.7,-546.7,0,0,1,
-4491.7568,-606.9565,-606.9565,-99.8006,-99.8006,205.2487,205.2487,193.0006,193.0006,100,100,-3.0006,-3.0006,521,521,-99.8006,-99.8006,43.4,43.4,1,
-3215.6944,-90.8854,-90.8854,-7.5,-7.5,-155.8276,-155.8276,99,99,136.1,136.1,-3,-3,522,522,-7.5,-7.5,235.8,235.8,1,
-3417.5727,-70.5763,-70.5763,8,8,10.5374,10.5374,99.0001,99.0001,93.0001,93.0001,-3.0001,-3.0001,523,523,8,8,200,200,1,
-4635.0505,-157.4436,-157.4436,8.2,8.2,44.705,44.705,143,143,100,100,-3,-3,524,524,8.2,8.2,251.2,251.2,1,
-3997.9513,-343.9734,-343.9734,-7.1002,-7.1002,102.9141,102.9141,159.9999,159.9999,97.9999,97.9999,-3.0002,-3.0002,525,525,-7.1002,-7.1002,175,175,1,
-4627.7717,-251.0189,-251.0189,-17.1,-17.1,76.959,76.959,201.0002,201.0002,84.9998,84.9998,-3.0002,-3.0002,526,526,-17.1,-17.1,238.9,238.9,1,
-4063.348,-272.6563,-272.6563,1.3,1.3,82.3599,82.3599,213,213,95,95,-3,-3,527,527,1.3,1.3,-0.5,-0.5,1,
-3874.2512,-36.4808,-36.4808,-17.1,-17.1,9.4916,9.4916,99.1,99.1,81.6,81.6,-3,-3,528,528,-17.1,-17.1,163.6,163.6,1,
-3557.5921,-156.4321,-156.4321,-89.8999,-89.8999,34.5143,34.5143,87.8999,87.8999,170.6,170.6,-3.0001,-3.0001,529,529,-89.8999,-89.8999,-268.9,-268.9,1,
-3729.4584,-83.0952,-83.0952,-18.7,-18.7,19.3235,19.3235,87,87,70,70,-3,-3,530,530,-18.7,-18.7,140.7,140.7,1,
-3585.9261,-68.8816,-68.8816,-0.2,-0.2,13.8291,13.8291,82.5,82.5,72,72,-3,-3,531,531,-0.2,-0.2,150.9,150.9,1,
-4091.1063,-231.8074,-231.8074,-84.0002,-84.0002,60.9368,60.9368,159.9998,159.9998,125.0002,125.0002,-3,-3,532,532,-84.0002,-84.0002,73,73,1,
-3249.8406,-102.2461,-102.2461,-53.5,-53.5,15.6438,15.6438,129,129,125,125,-3,-3,533,533,-53.5,-53.5,46.8,46.8,1,
-4406.5639,-81.5421,-81.5421,2.5,2.5,19.9695,19.9695,112.5,112.5,95,95,-3,-3,534,534,2.5,2.5,146.5,146.5,1,
-3775.5833,-79.5757,-79.5757,-2.2,-2.2,1.9633,1.9633,195.5,195.5,90.0001,90.0001,-3,-3,535,535,-2.2,-2.2,337.3,337.3,1,
-4220.2767,-140.7258,-140.7258,0.7,0.7,41.0946,41.0946,150,150,84,84,-3,-3,536,536,0.7,0.7,234,234,1,
-3934.1004,-81.7969,-81.7969,-3.5,-3.5,17.7317,17.7317,112.4,112.4,117.2,117.2,-3,-3,537,537,-3.5,-3.5,83.9,83.9,1,
0,,,,,-250.2269,-250.2269,,,,,-3.0001,-3.0001,538,538,-1815.5984,-1815.5984,0,0,1,
-3326.759,-52.8788,-52.8788,14,14,11.201,11.201,61,61,145.5,145.5,-3,-3,539,539,14,14,245.8,245.8,1,
0,,,,,-5.0248,-5.0248,,,112.5009,112.5009,-3,-3,540,540,,,,,1,
-3035.0598,-116.1413,-116.1413,-0.2999,-0.2999,31.4598,31.4598,199.4999,199.4999,85.3999,85.3999,-2.9999,-2.9999,541,541,-0.2999,-0.2999,284.6,284.6,1,
-4533.8309,-509.4891,-509.4891,20.8,20.8,164.037,164.037,137.7002,137.7002,80,80,-3.0005,-3.0005,542,542,20.8,20.8,238.5,238.5,1,
-3018.8356,-159.6037,-159.6037,-7,-7,40.2646,40.2646,168,168,105,105,-3,-3,543,543,-7,-7,234,234,1,
-4329.4564,-297.4805,-297.4805,-25.1002,-25.1002,77.9316,77.9316,298,298,72,72,-3,-3,544,544,-25.1002,-25.1002,169.9,169.9,1,
-4489.8115,-130.8271,-130.8271,-49.7,-49.7,36.2556,36.2556,220,220,100,100,-3.0001,-3.0001,545,545,-49.7,-49.7,200.3,200.3,1,
-3628.8461,-98.3929,-98.3929,-40.4,-40.4,27.1772,27.1772,186,186,72,72,-3,-3,546,546,-40.4,-40.4,217.6,217.6,1,
-3872.0294,-308.8988,-308.8988,58.1999,58.1999,58.0903,58.0903,281.9999,281.9999,23.9999,23.9999,-2.9999,-2.9999,547,547,58.1999,58.1999,306,306,1,
-4306.8227,-187.415,-187.415,-64,-64,58.8953,58.8953,219,219,96,96,-3,-3,548,548,-64,-64,51,51,1,
-4045.6919,-129.4994,-129.4994,-9.8001,-9.8001,29.5945,29.5945,119.9999,119.9999,160.0001,160.0001,-3,-3,549,549,-9.8001,-9.8001,30,30,1,
-4160.0027,-157.4271,-157.4271,-40.1999,-40.1999,41.4577,41.4577,177.9999,177.9999,100,100,-3,-3,550,550,-40.1999,-40.1999,274,274,1,
-3996.9881,-290.1272,-290.1272,-39.6999,-39.6999,75.192,75.192,223.0001,223.0001,72,72,-3.0001,-3.0001,551,551,-39.6999,-39.6999,151.6,151.6,1,
-3360.7752,-145.191,-145.191,-136.7,-136.7,31.1325,31.1325,95.0001,95.0001,175.8,175.8,-3.0001,-3.0001,552,552,-136.7,-136.7,134.1,134.1,1,
-4071.4355,-186.7951,-186.7951,0.2,0.2,42.6258,42.6258,183.5,183.5,210.0001,210.0001,-2.9999,-2.9999,553,553,0.2,0.2,294.4,294.4,1,
-4005.1515,-267.6923,-267.6923,-17.7997,-17.7997,102.9512,102.9512,193.8003,193.8003,150,150,-3.0003,-3.0003,554,554,-17.8003,-17.8003,226,226,1,
-3634.919,-306.0903,-306.0903,-84.7998,-84.7998,57.0869,57.0869,208.5,208.5,229.9998,229.9998,-2.9998,-2.9998,555,555,-84.7998,-84.7998,223.7,223.7,1,
-3678.6871,-181.6118,-181.6118,-36.6,-36.6,57.9067,57.9067,174.9999,174.9999,100,100,-3.0001,-3.0001,556,556,-36.6,-36.6,212.5,212.5,1,
-3478.2645,-52.6517,-52.6517,-48.8,-48.8,7.5323,7.5323,192.7,192.7,184.9999,184.9999,-3.0001,-3.0001,557,557,-48.8,-48.8,78.9,78.9,1,
-4058.0084,-137.75,-137.75,26.3,26.3,32.3575,32.3575,163.8,163.8,180,180,-3,-3,558,558,26.3,26.3,270.1,270.1,1,
-482.3034,-57.3998,-57.3998,47.1,47.1,22.2484,22.2484,159.5,159.5,170,170,-2.9999,-2.9999,559,559,47.1,47.1,-67.6,-67.6,1,
-3860.4879,-193.8752,-193.8752,1.9999,1.9999,43.1718,43.1718,159.9999,159.9999,115.0001,115.0001,-3.0002,-3.0002,560,560,1.9999,1.9999,175,175,1,
0,,,,,-0.0803,-0.0803,,,66.6667,66.6667,-3,-3,561,561,,,,,1,
-3800.5398,-355.4382,-355.4382,-14.4002,-14.4002,92.8885,92.8885,160.0001,160.0001,125.0002,125.0002,-2.9997,-2.9997,562,562,-14.4002,-14.4002,175,175,1,
0,,,,,-0.1174,-0.1174,,,29.3427,29.3427,-3,-3,563,563,,,,,1,
0,,,,,-0.1515,-0.1515,,,200,200,-3,-3,564,564,,,,,1,
-4530.142,-157.4436,-157.4436,11.4,11.4,47.5732,47.5732,176,176,147,147,-3,-3,565,565,11.4,11.4,259.4,259.4,1,
-4670.13,-245.6593,-245.6593,-0.1999,-0.1999,69.2689,69.2689,169.2999,169.2999,180,180,-3,-3,566,566,-0.1999,-0.1999,138.1,138.1,1,
-4207.8672,-186.4316,-186.4316,-8.2999,-8.2999,52.4954,52.4954,145,145,180,180,-3,-3,567,567,-8.2999,-8.2999,166.7,166.7,1,
-3634.3149,-154.5383,-154.5383,1.4999,1.4999,32.8775,32.8775,207.7001,207.7001,94.9999,94.9999,-3.0001,-3.0001,568,568,1.4999,1.4999,297.3,297.3,1,
-3890.3056,-93.0047,-93.0047,95,95,16.5452,16.5452,110.0001,110.0001,70.0001,70.0001,-3,-3,569,569,95,95,275,275,1,
-4099.4262,-288.3503,-288.3503,-38,-38,77.6524,77.6524,265.6998,265.6998,150,150,-3.0003,-3.0003,570,570,-38,-38,338.8,338.8,1,
0,,,,,-172.7867,-172.7867,,,,,-3,-3,571,571,-1093.3,-1093.3,0,0,1,
-3077.0611,-92.5729,-92.5729,-0.8,-0.8,-11.9346,-11.9346,148.5001,148.5001,90,90,-3,-3,572,572,-0.8,-0.8,237.7,237.7,1,
-4018.3863,-64.7896,-64.7896,9.1,9.1,11.0157,11.0157,87,87,99,99,-3,-3,573,573,9.1,9.1,195.1,195.1,1,
-3482.2502,-167.3924,-167.3924,-11.6999,-11.6999,31.758,31.758,69.1001,69.1001,186.3001,186.3001,-3.0002,-3.0002,574,574,-11.6999,-11.6999,225.6,225.6,1,
-3863.7795,-149.0734,-149.0734,-90.5999,-90.5999,-3.2292,-3.2292,207.9999,207.9999,62,62,-3.0001,-3.0001,575,575,-90.5999,-90.5999,121.9,121.9,1,
-3997.7678,-141.0811,-141.0811,2.2,2.2,31.9735,31.9735,210,210,75,75,-3,-3,576,576,2.2,2.2,200.7,200.7,1,
-4470.4183,-171.7403,-171.7403,-12.9998,-12.9998,-132.5015,-132.5015,198,198,78,78,-3.0002,-3.0002,577,577,-13.0002,-13.0002,210.1,210.1,1,
-4020.9019,-174.5819,-174.5819,,,56.8111,56.8111,223.0002,223.0002,90.9998,90.9998,-3.0002,-3.0002,578,578,0,0,211.1,211.1,1,
-4331.4073,-158.9423,-158.9423,-7.6,-7.6,45.6721,45.6721,198,198,105,105,-3,-3,579,579,-7.6,-7.6,195.4,195.4,1,
-4509.6844,-193.7109,-193.7109,-20.2,-20.2,48.6844,48.6844,219,219,40,40,-3,-3,580,580,-20.2,-20.2,147.8,147.8,1,
-4075.6386,-132.24,-132.24,-39.6,-39.6,26.072,26.072,195,195,120,120,-3,-3,581,581,-39.6,-39.6,175.4,175.4,1,
-4373.0178,-247.95,-247.95,-20,-20,60.9635,60.9635,213,213,24,24,-3,-3,582,582,-20,-20,217,217,1,
-3059.6424,-58.3412,-58.3412,-6.6,-6.6,17.9838,17.9838,48,48,70.6,70.6,-3,-3,583,583,-6.6,-6.6,112,112,1,
-4056.3222,-241.7845,-241.7845,9.2999,9.2999,53.1477,53.1477,50,50,104,104,-3,-3,584,584,9.2999,9.2999,187.7,187.7,1,
-4229.8628,-126.5051,-126.5051,-24.9,-24.9,26.3293,26.3293,195,195,78,78,-3,-3,585,585,-24.9,-24.9,132.7,132.7,1,
-3656.767,-154.1153,-154.1153,-8.1001,-8.1001,-20.2858,-20.2858,278.2001,278.2001,84.9999,84.9999,-3,-3,586,586,-8.1001,-8.1001,295.6,295.6,1,
-4478.2788,-66.6532,-66.6532,-24.7,-24.7,16.4573,16.4573,95.5,95.5,70.6,70.6,-3,-3,587,587,-24.7,-24.7,131.7,131.7,1,
-3901.5293,-300.5455,-300.5455,-8.3,-8.3,65.0624,65.0624,189,189,91,91,-3,-3,588,588,-8.3,-8.3,195.9,195.9,1,
-3451.2385,-114.3681,-114.3681,-40.8999,-40.8999,30.0939,30.0939,170,170,91,91,-3,-3,589,589,-40.8999,-40.8999,120.1,120.1,1,
-4147.7181,-331.0986,-331.0986,,,83.6563,83.6563,162.5002,162.5002,110,110,-2.9998,-2.9998,590,590,0,0,257,257,1,
-4131.306,-204.4922,-204.4922,-3.1,-3.1,62.5148,62.5148,159,159,99,99,-3,-3,591,591,-3.1,-3.1,254.9,254.9,1,
-3934.2,-436.25,-436.25,-10,-10,109.5842,109.5842,158.8,158.8,30,30,-3,-3,592,592,-10,-10,20.4,20.4,1,
-3501.8755,-143.8187,-143.8187,-52.2,-52.2,22.7063,22.7063,119,119,156.4,156.4,-3,-3,593,593,-52.2,-52.2,223.2,223.2,1,
-3977.2264,-257.8932,-257.8932,12.4001,12.4001,51.9599,51.9599,160.0002,160.0002,97.9999,97.9999,-3.0001,-3.0001,594,594,12.4001,12.4001,200,200,1,
-4354.1311,-186.9643,-186.9643,-2.4,-2.4,53.73,53.73,183,183,84,84,-3,-3,595,595,-2.4,-2.4,266.1,266.1,1,
-3824.5662,-79.3976,-79.3976,7.9,7.9,16.8742,16.8742,187.5001,187.5001,143,143,-3,-3,596,596,7.9,7.9,323.4,323.4,1,
-4446.1026,-192.4632,-192.4632,2,2,49.1276,49.1276,169,169,128,128,-3,-3,597,597,2,2,299,299,1,
-2918.2445,-96.9444,-96.9444,-16.7,-16.7,16.5187,16.5187,107,107,151.6,151.6,-3,-3,598,598,-16.7,-16.7,245,245,1,
-35.4833,-174.7841,-174.7841,-6.2003,-6.2003,26.7919,26.7919,200,200,,,-5,-5,599,599,-6.2003,-6.2003,175,175,1,
0,-60.0424,-60.0424,30.1001,30.1001,-10.5848,-10.5848,525.0004,525.0004,,,-5.0001,-5.0001,600,600,30.1001,30.1001,345.6,345.6,1,
-789.2381,-168.6667,-168.6667,-12.7,-12.7,107.6608,107.6608,308,308,,,-5,-5,601,601,0,0,295.3,295.3,1,
-702.5935,-90.4177,-90.4177,-84.3998,-84.3998,31.3603,31.3603,613.5001,613.5001,,,-5.0002,-5.0002,602,602,-80.3998,-80.3998,272,272,1,
-370.7292,-98.159,-98.159,-14.9998,-14.9998,67.3607,67.3607,432.0001,432.0001,,,-5.0001,-5.0001,603,603,0,0,399.4,399.4,1,
0,-47.0258,-47.0258,-91,-91,32.3186,32.3186,475.0001,475.0001,,,-5,-5,604,604,0.5999,0.5999,340.4,340.4,1,
-366.772,-71.0425,-71.0425,-2.5999,-2.5999,36.1007,36.1007,603.6002,603.6002,,,-5,-5,605,605,-2.5999,-2.5999,283.4,283.4,1,
-352.5854,-106.5263,-106.5263,-5.3,-5.3,78.4742,78.4742,352.5,352.5,,,-5,-5,606,606,-5.3,-5.3,336.1,336.1,1,
0,-44.0818,-44.0818,-2.2,-2.2,28.4683,28.4683,415,415,,,-4.9999,-4.9999,607,607,-2.2,-2.2,354.6,354.6,1,
-3902.3133,-355.0597,-355.0597,,,74.7464,74.7464,160,160,155,155,-2.9999,-2.9999,608,608,0,0,250,250,1,
0,,,,,-593.107,-593.107,,,,,-2.9939,-2.9939,609,609,-2854.7084,-2854.7084,0,0,1,
-4657.3506,-82.9964,-82.9964,-23.3999,-23.3999,20.1595,20.1595,107.0001,107.0001,61.7999,61.7999,-3.0001,-3.0001,610,610,-23.4001,-23.4001,120.8,120.8,1,
-4062.8283,-81.2888,-81.2888,-28.3,-28.3,18.5718,18.5718,147.5,147.5,93.2,93.2,-3,-3,611,611,-28.3,-28.3,13.2,13.2,1,
-3456.0942,-168.4439,-168.4439,-7.5,-7.5,45.5024,45.5024,147.9999,147.9999,131.0001,131.0001,-3.0001,-3.0001,612,612,-7.5,-7.5,172.3,172.3,1,
-3534.2671,-55.7338,-55.7338,0.2,0.2,-3.7652,-3.7652,86,86,53.2,53.2,,,613,613,0.2,0.2,156.7,156.7,1,
-3662.7852,-66.3666,-66.3666,-34.1,-34.1,14.1665,14.1665,82.5,82.5,57,57,-3,-3,614,614,-34.1,-34.1,105.4,105.4,1,
-4424.2833,-161.0769,-161.0769,57.8,57.8,48.1388,48.1388,138,138,101,101,-3,-3,615,615,57.8,57.8,296,296,1,
-4173.5081,-225.2339,-225.2339,26.6,26.6,-32.5963,-32.5963,246.5002,246.5002,100,100,-3.0001,-3.0001,616,616,26.6,26.6,373.3,373.3,1,
-4056.1025,-189.4282,-189.4282,-4.5,-4.5,34.8143,34.8143,279.5001,279.5001,160.0001,160.0001,-3.0001,-3.0001,617,617,-4.5,-4.5,313.1,313.1,1,
-4122.7204,-148.7216,-148.7216,-0.1,-0.1,44.0634,44.0634,115,115,104,104,-3,-3,618,618,-0.1,-0.1,137.9,137.9,1,
-4217.3483,-951.8182,-951.8182,12.4,12.4,-18.7491,-18.7491,111.8,111.8,154,154,-3,-3,619,619,12.4,12.4,278.2,278.2,1,
-4396.2188,-96.9444,-96.9444,0.2,0.2,-6.3863,-6.3863,140,140,84,84,-3,-3,620,620,0.2,0.2,248.7,248.7,1,
